CE_BRAND_FLVR,BRAND_NM,PKG_CAT,Pkg_Cat_Desc,TSR_PCKG_NM,product_id
3440, LEMON,N20O,20Z/600ML,.591L NRP 24L,0
3440, LEMON,N20O,20Z/600ML,20Z NRP 24L,1
3554, STRAWBERRY,N20O,20Z/600ML,20Z NRP 24L,2
3441, RASPBERRY,N20O,20Z/600ML,20Z NRP 24L,3
3441, RASPBERRY,N56P,500ML 6P,.5L NRP 6P,4
3554, STRAWBERRY,N20O,20Z/600ML,.591L NRP 24L,5
3554, STRAWBERRY,N20O,20Z/600ML,20z NRP 24L S,6
3441, RASPBERRY,N20O,20Z/600ML,20z NRP 24L S,7
3440, LEMON,N20O,20Z/600ML,20z NRP 24L S,8
3554, STRAWBERRY,N56P,500ML 6P,.5L NRP 6P,9
3554, STRAWBERRY,N20O,20Z/600ML,.591L NRP 24L *,10
3440, LEMON,N56P,500ML 6P,.5L NRP 6P,11
3441, RASPBERRY,N20O,20Z/600ML,.591L NRP 24L,12
3441, RASPBERRY,N20O,20Z/600ML,.591L NRP 24L *,13
3441, RASPBERRY,N56P,500ML 6P,.5L NRP 6P S,14
3440, LEMON,N20O,20Z/600ML,.591L NRP 24L *,15
3554, STRAWBERRY,N56P,500ML 6P,.5L NRP 6P S,16
3441, RASPBERRY,N56P,500ML 6P,.5L NRP 6P*,17
3440, LEMON,N56P,500ML 6P,.5L NRP 6P S,18
3440, LEMON,N56P,500ML 6P,.5L NRP 6P*,19
3440, LEMON,N128,12Z/355M 8NR,12Z NRP 8P F,20
3697, GRAPE,N20O,20Z/600ML,20z NRP 24L S,21
