DATE	CE_BRAND_FLVR	BRAND_NM	Btlr_Org_LVL_C_Desc	CHNL_GROUP	TRADE_CHNL_DESC	PKG_CAT	Pkg_Cat_Desc	TSR_PCKG_NM	$ Volume	YEAR	MONTH	PERIOD
1/1/2006	3440	 LEMON	CANADA	LEISURE	SPORT VENUE	N20O	20Z/600ML	.591L NRP 24L	22.48	2006	1	1
1/1/2006	3440	 LEMON	NORTHEAST	SUPERS	SUPERETTE	N20O	20Z/600ML	20Z NRP 24L	100	2006	1	1
1/1/2006	3554	 STRAWBERRY	SOUTHEAST	WORKPLACE	PLANT / OFFICE	N20O	20Z/600ML	20Z NRP 24L	66.14	2006	1	1
1/1/2006	3441	 RASPBERRY	MIDWEST	MASS MERCHANDISER	MASS MERCHANDISER	N20O	20Z/600ML	20Z NRP 24L	222.5	2006	1	1
1/1/2006	3440	 LEMON	WEST	MASS MERCHANDISER	MASS MERCHANDISER	N20O	20Z/600ML	20Z NRP 24L	302.5	2006	1	1
1/1/2006	3440	 LEMON	MIDWEST	OTHER SMALL STORES	LIQUOR/BEER/WINE/SOFT	N20O	20Z/600ML	20Z NRP 24L	10	2006	1	1
1/1/2006	3441	 RASPBERRY	SOUTHEAST	CONVENIENCE RETAIL	CONVENIENCE STORE	N56P	500ML 6P	.5L NRP 6P	-4.22	2006	1	1
1/1/2006	3554	 STRAWBERRY	CANADA	FOOD SERVICE	QUICK SERVICE RESTAURANT	N20O	20Z/600ML	.591L NRP 24L	59.95	2006	1	1
1/1/2006	3554	 STRAWBERRY	SOUTHWEST	SUPERS	SUPERMARKET	N20O	20Z/600ML	20z NRP 24L S	300	2006	1	1
1/1/2006	3554	 STRAWBERRY	SOUTHEAST	FOOD SERVICE	QUICK SERVICE RESTAURANT	N20O	20Z/600ML	20Z NRP 24L	85	2006	1	1
1/1/2006	3441	 RASPBERRY	GREAT LAKES	FOOD SERVICE	QUICK SERVICE RESTAURANT	N20O	20Z/600ML	20z NRP 24L S	2.5	2006	1	1
1/1/2006	3440	 LEMON	GREAT LAKES	OTHER SMALL STORES	ALL OTHER	N20O	20Z/600ML	20z NRP 24L S	2.5	2006	1	1
1/1/2006	3554	 STRAWBERRY	MIDWEST	FOOD SERVICE	OTHER EATING + DRINKING	N20O	20Z/600ML	20Z NRP 24L	45	2006	1	1
1/1/2006	3441	 RASPBERRY	WEST	FOOD SERVICE	RESTAURANT	N20O	20Z/600ML	20Z NRP 24L	7.5	2006	1	1
1/1/2006	3441	 RASPBERRY	WEST	SUPERS	HYPER-MERCHANDISER	N20O	20Z/600ML	20Z NRP 24L	396.87	2006	1	1
1/1/2006	3554	 STRAWBERRY	GREAT LAKES	DRUG STORES	DRUG STORE	N56P	500ML 6P	.5L NRP 6P	35.92	2006	1	1
1/1/2006	3554	 STRAWBERRY	CANADA	TRANSPORTATION	TRANSPORTATION	N20O	20Z/600ML	.591L NRP 24L *	12.49	2006	1	1
1/1/2006	3441	 RASPBERRY	MIDWEST	SUPERS	MILITARY-COMMISARY	N56P	500ML 6P	.5L NRP 6P	10.56	2006	1	1
1/1/2006	3554	 STRAWBERRY	WEST	DRUG STORES	DRUG STORE	N20O	20Z/600ML	20Z NRP 24L	152.5	2006	1	1
1/1/2006	3440	 LEMON	SOUTHEAST	MILITARY/GOVT	MILITARY-OTHER	N20O	20Z/600ML	20z NRP 24L S	27.5	2006	1	1
1/1/2006	3440	 LEMON	SOUTHEAST	EDUCATION	COLLEGE/UNIVERSITY	N20O	20Z/600ML	20z NRP 24L S	87.5	2006	1	1
1/1/2006	3554	 STRAWBERRY	SOUTHWEST	EDUCATION	PRIMARY/SECONDARY SCHOOL	N20O	20Z/600ML	20z NRP 24L S	445	2006	1	1
1/1/2006	3440	 LEMON	SOUTHWEST	CONVENIENCE RETAIL	CONVENIENCE STORE	N20O	20Z/600ML	20z NRP 24L S	3552.5	2006	1	1
1/1/2006	3440	 LEMON	GREAT LAKES	OTHER SMALL STORES	LIQUOR/BEER/WINE/SOFT	N56P	500ML 6P	.5L NRP 6P	2.11	2006	1	1
1/1/2006	3440	 LEMON	SOUTHWEST	DRUG STORES	DRUG STORE	N56P	500ML 6P	.5L NRP 6P	33.81	2006	1	1
1/1/2006	3554	 STRAWBERRY	SOUTHEAST	SUPERS	HYPER-MERCHANDISER	N20O	20Z/600ML	20z NRP 24L S	412.5	2006	1	1
1/1/2006	3554	 STRAWBERRY	NORTHEAST	CONVENIENCE RETAIL	CONVENIENCE STORE	N20O	20Z/600ML	20Z NRP 24L	1137.5	2006	1	1
1/1/2006	3554	 STRAWBERRY	WEST	OTHER SMALL STORES	ALL OTHER	N20O	20Z/600ML	20Z NRP 24L	67.5	2006	1	1
1/1/2006	3440	 LEMON	GREAT LAKES	EDUCATION	COLLEGE/UNIVERSITY	N20O	20Z/600ML	20Z NRP 24L	195	2006	1	1
1/1/2006	3554	 STRAWBERRY	SOUTHEAST	HEALTHCARE	HEALTH / HOSPITAL	N20O	20Z/600ML	20Z NRP 24L	121.25	2006	1	1
1/1/2006	3440	 LEMON	SOUTHEAST	RETAIL COLD	GENERAL MERCHANDISER	N20O	20Z/600ML	20Z NRP 24L	125.62	2006	1	1
